时间,通道,频率 (Hz),温度 (C),状态
2026-06-22 16:51:53,3,2891.70,27.2,OK
2026-06-22 16:52:05,4,893.20,32.5,OK
2026-06-22 16:52:14,5,2910.90,26.3,OK
2026-06-22 16:52:23,6,2733.20,26.6,OK
2026-06-22 16:52:27,7,,,Timeout/Error
2026-06-22 16:52:30,8,,,Timeout/Error
2026-06-22 16:52:42,1,2884.80,27.7,OK
2026-06-22 16:52:51,2,2847.50,27.2,OK
2026-06-22 16:53:01,3,2891.80,27.2,OK
2026-06-22 16:53:13,4,892.90,31.8,OK
2026-06-22 16:53:22,5,2910.90,26.4,OK
2026-06-22 16:53:32,6,2733.20,26.7,OK
2026-06-22 16:53:34,7,,,Timeout/Error
2026-06-22 16:53:36,8,,,Timeout/Error
2026-06-22 16:53:48,1,2884.80,27.7,OK
2026-06-22 16:53:58,2,2847.70,27.2,OK
2026-06-22 16:54:07,3,2891.70,27.2,OK
2026-06-22 16:54:19,4,892.70,31.2,OK
2026-06-22 16:54:28,5,2911.00,26.4,OK
2026-06-22 16:54:38,6,2733.20,26.7,OK
2026-06-22 16:54:42,7,,,Timeout/Error
2026-06-22 16:54:44,8,,,Timeout/Error
2026-06-22 16:54:56,1,2885.10,27.6,OK
2026-06-22 16:55:06,2,2847.50,27.2,OK
2026-06-22 16:55:16,3,2891.80,27.2,OK
2026-06-22 16:55:27,4,892.40,30.7,OK
2026-06-22 16:55:37,5,2910.90,26.4,OK
2026-06-22 16:55:47,6,2733.20,26.7,OK
2026-06-22 16:55:50,7,,,Timeout/Error
2026-06-22 16:55:53,8,,,Timeout/Error
2026-06-22 16:56:05,1,2884.90,27.6,OK
2026-06-22 16:56:15,2,2847.70,27.2,OK
2026-06-22 16:56:24,3,2891.70,27.2,OK
2026-06-22 16:56:36,4,892.30,30.3,OK
2026-06-22 16:56:46,5,2910.90,26.4,OK
2026-06-22 16:56:56,6,2733.20,26.7,OK
2026-06-22 16:56:59,7,,,Timeout/Error
2026-06-22 16:57:02,8,,,Timeout/Error
